"Area","Sektion","Station","year","week","day","Längdgr_std","length_group","netID","age"
"BT",1,2,1987,43,2,2,17.6,"BT.1987.2",4
"BT",1,2,1987,43,2,2,17.6,"BT.1987.2",4
"BT",1,2,1987,43,2,2,17.6,"BT.1987.2",4
"BT",1,2,1987,43,2,2,17.6,"BT.1987.2",3
"BT",1,2,1987,43,2,2,17.6,"BT.1987.2",4
"BT",1,2,1987,43,2,2,17.6,"BT.1987.2",5
"BT",1,2,1987,43,3,2,17.6,"BT.1987.2",3
"BT",1,2,1987,43,3,2,17.6,"BT.1987.2",5
"BT",1,2,1987,43,3,2,17.6,"BT.1987.2",4
"BT",1,2,1987,43,3,2,17.6,"BT.1987.2",4
"BT",1,2,1987,43,5,2,17.6,"BT.1987.2",3
"BT",1,2,1987,43,5,2,17.6,"BT.1987.2",3
"BT",1,2,1987,43,5,2,17.6,"BT.1987.2",3
"BT",1,2,1987,44,2,2,17.6,"BT.1987.2",3
"BT",1,2,1987,44,2,2,17.6,"BT.1987.2",4
"BT",1,2,1987,44,2,2,17.6,"BT.1987.2",3
"BT",1,2,1987,45,4,2,17.6,"BT.1987.2",6
"BT",1,2,1987,45,4,2,17.6,"BT.1987.2",3
"BT",1,2,1987,45,4,2,17.6,"BT.1987.2",4
"BT",1,2,1987,45,4,2,17.6,"BT.1987.2",4
"BT",1,2,1987,45,4,2,17.6,"BT.1987.2",5
"BT",1,2,1987,45,4,2,17.6,"BT.1987.2",3
"BT",1,2,1987,45,4,2,17.6,"BT.1987.2",4
"BT",1,2,1987,45,4,2,17.6,"BT.1987.2",4
"BT",1,2,1987,45,4,2,17.6,"BT.1987.2",4
"BT",1,2,1987,45,5,2,17.6,"BT.1987.2",3
"BT",1,2,1987,45,5,2,17.6,"BT.1987.2",4
"BT",1,2,1987,45,5,2,17.6,"BT.1987.2",6
"BT",1,2,1987,45,5,2,17.6,"BT.1987.2",5
"BT",1,2,1987,45,5,2,17.6,"BT.1987.2",4
"BT",1,2,1987,45,5,2,17.6,"BT.1987.2",3
"BT",1,2,1987,45,5,2,17.6,"BT.1987.2",3
"BT",1,2,1987,45,5,2,17.6,"BT.1987.2",4
"BT",1,2,1987,46,3,2,17.6,"BT.1987.2",4
"BT",1,2,1987,46,3,2,17.6,"BT.1987.2",4
"BT",1,2,1987,46,3,2,17.6,"BT.1987.2",3
"BT",1,3,1987,42,2,2,17.6,"BT.1987.3",4
"BT",1,3,1987,42,2,2,17.6,"BT.1987.3",4
"BT",1,3,1987,42,2,2,17.6,"BT.1987.3",4
"BT",1,3,1987,42,2,2,17.6,"BT.1987.3",3
"BT",1,3,1987,42,2,2,17.6,"BT.1987.3",3
"BT",1,3,1987,42,2,2,17.6,"BT.1987.3",4
"BT",1,3,1987,42,2,2,17.6,"BT.1987.3",4
"BT",1,3,1987,42,2,2,17.6,"BT.1987.3",4
"BT",1,3,1987,42,2,2,17.6,"BT.1987.3",4
"BT",1,3,1987,42,2,2,17.6,"BT.1987.3",5
"BT",1,3,1987,42,3,2,17.6,"BT.1987.3",4
"BT",1,3,1987,42,3,2,17.6,"BT.1987.3",5
"BT",1,3,1987,42,3,2,17.6,"BT.1987.3",5
"BT",1,3,1987,42,3,2,17.6,"BT.1987.3",4
"BT",1,3,1987,42,3,2,17.6,"BT.1987.3",4
"BT",1,3,1987,42,3,2,17.6,"BT.1987.3",3
"BT",1,3,1987,43,2,2,17.6,"BT.1987.3",4
"BT",1,3,1987,43,2,2,17.6,"BT.1987.3",4
"BT",1,3,1987,43,2,2,17.6,"BT.1987.3",5
"BT",1,3,1987,43,2,2,17.6,"BT.1987.3",4
"BT",1,3,1987,43,2,2,17.6,"BT.1987.3",3
"BT",1,3,1987,43,2,2,17.6,"BT.1987.3",6
"BT",1,3,1987,43,2,2,17.6,"BT.1987.3",3
"BT",1,3,1987,43,3,2,17.6,"BT.1987.3",5
"BT",1,3,1987,43,3,2,17.6,"BT.1987.3",3
"BT",1,3,1987,43,5,2,17.6,"BT.1987.3",3
"BT",1,3,1987,43,5,2,17.6,"BT.1987.3",3
"BT",1,3,1987,45,4,2,17.6,"BT.1987.3",4
"BT",1,3,1987,45,4,2,17.6,"BT.1987.3",4
"BT",1,3,1987,45,4,2,17.6,"BT.1987.3",4
"BT",1,3,1987,45,4,2,17.6,"BT.1987.3",3
"BT",1,3,1987,45,5,2,17.6,"BT.1987.3",3
"BT",1,3,1987,45,5,2,17.6,"BT.1987.3",4
"BT",1,3,1987,45,5,2,17.6,"BT.1987.3",3
"BT",1,3,1987,45,5,2,17.6,"BT.1987.3",4
"BT",1,3,1987,45,5,2,17.6,"BT.1987.3",4
"BT",1,3,1987,45,5,2,17.6,"BT.1987.3",3
"BT",1,3,1987,46,3,2,17.6,"BT.1987.3",4
"BT",1,3,1987,46,3,2,17.6,"BT.1987.3",4
"BT",1,3,1987,46,4,2,17.6,"BT.1987.3",5
"BT",1,4,1987,42,2,2,17.6,"BT.1987.4",4
"BT",1,4,1987,42,2,2,17.6,"BT.1987.4",4
"BT",1,4,1987,42,2,2,17.6,"BT.1987.4",6
"BT",1,4,1987,42,2,2,17.6,"BT.1987.4",3
"BT",1,4,1987,42,2,2,17.6,"BT.1987.4",3
"BT",1,4,1987,42,2,2,17.6,"BT.1987.4",4
"BT",1,4,1987,42,2,2,17.6,"BT.1987.4",5
"BT",1,4,1987,42,2,2,17.6,"BT.1987.4",5
